cell_type,symbol,log2FoldChange,padj
endothelial cell of lymphatic vessel,H2-Eb1,10.198186006849115,5.1161726886789726e-06
endothelial cell of lymphatic vessel,Zfp866,-11.551200858703956,5.1161726886789726e-06
endothelial cell of lymphatic vessel,9130019O22Rik,-11.562233593400629,7.055439288837531e-06
endothelial cell of lymphatic vessel,Rnft1,-11.322651695961282,9.015606878590854e-06
endothelial cell of lymphatic vessel,Scarna13,43.2808512266689,9.015606878590854e-06
endothelial cell of lymphatic vessel,Zfp157,9.530952130108217,9.539010105930056e-06
endothelial cell of lymphatic vessel,Ythdf1,-6.917871710116032,1.4027337638151268e-05
endothelial cell of lymphatic vessel,Phtf1,-11.53037136365934,1.8580049434822113e-05
fibroblast of lung,Snhg11,7.267064269337606,4.814024065765725e-08
fibroblast of lung,Slc9a3r1,-10.28660860569828,4.814024065765725e-08
fibroblast of lung,Ccl2,10.889195971642526,3.752825803183546e-07
fibroblast of lung,Phlda3,2.1399879518190623,7.770748289861233e-07
fibroblast of lung,Serpina3i,9.52720223566511,1.6437712663089843e-06
fibroblast of lung,Prr13,2.6455853602504216,4.747610316155324e-05
fibroblast of lung,Tcf19,9.447322250618146,8.205763720950954e-05
fibroblast of lung,Pola2,9.097061519050415,0.000106812327794053
fibroblast of lung,Mnda,6.973826797210657,0.000106812327794053
fibroblast of lung,Doc2a,6.781999660460349,0.0001154741480377527
fibroblast of lung,Zfp503,3.9953818293901064,0.00021216673014491522
fibroblast of lung,Rhoc,1.8656846039666604,0.00023906745235388453
fibroblast of lung,Tuba4a,4.958522236299439,0.0003141575085154763
fibroblast of lung,Mier3,-2.7275319801916194,0.00043028573464957536
fibroblast of lung,Grina,1.3714912776169,0.0005626126887202557
fibroblast of lung,4930563E22Rik,43.2808512266689,0.0008129075430024099
fibroblast of lung,Hp,6.862513885276915,0.00082504587017082
fibroblast of lung,ORF61,3.0193283831589097,0.001128692244702704
fibroblast of lung,Arhgdia,1.350079713730175,0.001128692244702704
